start,end,duration_min,state,top_variables,severity
2018-02-28 22:30:00,2018-02-28 22:35:00,10,3,"Cyclone_Inlet_Gas_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_Material_Temp",2.0569435727506824
2018-03-01 06:20:00,2018-03-01 06:35:00,20,3,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Inlet_Gas_Temp",2.4555841654396495
2018-03-01 12:30:00,2018-03-01 12:50:00,25,3,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Gas_Temp",2.4008828059002045
2018-03-01 13:10:00,2018-03-01 13:15:00,10,3,"Cyclone_Inlet_Draft,Cyclone_cone_draft,Cyclone_Outlet_Gas_draft",2.643952230870044
2018-03-01 13:20:00,2018-03-02 17:20:00,1685,0,"Cyclone_Inlet_Draft,Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft",2.321617649352275
2018-03-07 07:25:00,2018-03-07 19:25:00,725,1,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Gas_Temp",3.38866772628773
2018-03-08 19:30:00,2018-03-08 19:35:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft",1.770148556937617
2018-03-10 09:45:00,2018-03-10 09:50:00,10,2,"Cyclone_Inlet_Gas_Temp,Cyclone_cone_draft,Cyclone_Inlet_Draft",2.0916174530542695
2018-03-10 15:15:00,2018-03-10 15:30:00,20,2,"Cyclone_Inlet_Gas_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft",1.8495042507684027
2018-03-11 12:40:00,2018-03-11 14:05:00,90,2,"Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft",2.1335469087011316
2018-03-11 14:25:00,2018-03-11 14:45:00,25,2,"Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft",1.5330235966654253
2018-03-11 15:15:00,2018-03-11 15:25:00,15,2,"Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp",1.5515725549971215
2018-03-12 11:10:00,2018-03-12 11:20:00,15,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp",2.0053195349283413
2018-03-12 14:35:00,2018-03-12 14:45:00,15,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_cone_draft",2.0787024123393207
2018-03-12 15:05:00,2018-03-12 15:40:00,40,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Outlet_Gas_draft",1.7777902452423573
2018-03-12 16:55:00,2018-03-12 17:05:00,15,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp",1.6278365108855635
2018-03-12 17:30:00,2018-03-12 18:50:00,85,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft",2.121318973065762
2018-03-12 19:05:00,2018-03-12 19:25:00,25,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft",1.6704895240431898
2018-03-12 22:25:00,2018-03-12 22:30:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp",1.622291381375738
2018-03-13 05:30:00,2018-03-13 05:35:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp",1.9702930860738688
2018-03-13 06:50:00,2018-03-13 06:55:00,10,4,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Outlet_Gas_draft",1.5291266811909194
2018-03-13 15:20:00,2018-03-13 15:25:00,10,4,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Outlet_Gas_draft",1.553947321271492
2018-03-13 15:35:00,2018-03-13 15:40:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp",1.858133325688489
