start,end,duration_min
2018-07-04 21:00:00,2018-07-10 13:35:00,8200.0
2018-07-15 02:45:00,2018-07-15 05:25:00,165.0
2018-07-15 21:40:00,2018-07-15 23:35:00,120.0
2018-07-17 15:05:00,2018-07-18 10:00:00,1140.0
2018-07-19 11:55:00,2018-07-19 13:00:00,70.0
2018-07-21 23:15:00,2018-07-21 23:40:00,30.0
2018-07-30 01:20:00,2018-07-30 02:40:00,85.0
2018-08-29 01:35:00,2018-09-02 23:10:00,7060.0
2018-09-15 09:15:00,2018-09-17 17:05:00,3355.0
2018-09-19 08:10:00,2018-09-19 17:20:00,555.0
2018-09-24 13:15:00,2018-09-24 18:35:00,325.0
2018-09-25 15:55:00,2018-10-18 10:30:00,32800.0
2018-10-23 11:10:00,2018-10-23 15:35:00,270.0
2018-10-25 15:40:00,2018-10-25 16:45:00,70.0
2018-10-26 11:40:00,2018-10-26 16:25:00,290.0
2018-11-04 00:40:00,2018-11-05 11:35:00,2100.0
2018-11-27 02:50:00,2018-11-27 05:35:00,170.0
2018-11-27 06:05:00,2018-11-30 06:40:00,4360.0
2018-12-05 23:30:00,2018-12-07 06:05:00,1840.0
2018-12-09 14:10:00,2018-12-09 22:55:00,530.0
2018-12-10 09:35:00,2018-12-10 15:15:00,345.0
2018-12-10 19:05:00,2018-12-10 19:35:00,35.0
2018-12-13 16:00:00,2018-12-13 19:05:00,190.0
2018-12-20 18:15:00,2018-12-20 19:00:00,50.0
2018-12-22 11:00:00,2018-12-22 11:35:00,40.0
2018-12-28 09:30:00,2018-12-28 10:00:00,35.0
2019-01-03 06:10:00,2019-01-03 09:50:00,225.0
2019-01-12 04:15:00,2019-01-12 05:25:00,75.0
2019-01-15 23:50:00,2019-01-16 00:25:00,40.0
2019-01-18 00:20:00,2019-01-18 00:45:00,30.0
2019-02-01 11:00:00,2019-02-01 11:35:00,40.0
2019-02-03 13:25:00,2019-02-03 13:55:00,35.0
2019-02-06 11:35:00,2019-02-06 14:35:00,185.0
2019-02-11 17:05:00,2019-02-11 18:25:00,85.0
2019-03-08 23:30:00,2019-03-09 00:55:00,90.0
2019-03-09 06:40:00,2019-03-13 11:35:00,6060.0
2019-03-13 13:15:00,2019-03-13 15:05:00,115.0
2019-03-13 15:55:00,2019-03-17 20:20:00,6030.0
2019-03-17 21:40:00,2019-03-18 15:45:00,1090.0
2019-03-20 13:15:00,2019-03-20 14:00:00,50.0
2019-03-20 14:35:00,2019-03-20 15:00:00,30.0
2019-03-20 20:35:00,2019-03-20 21:20:00,50.0
2019-03-20 23:50:00,2019-03-21 00:35:00,50.0
2019-03-21 03:50:00,2019-03-21 04:15:00,30.0
2019-03-21 07:55:00,2019-03-21 08:30:00,40.0
2019-03-22 23:10:00,2019-03-22 23:45:00,40.0
2019-03-25 03:20:00,2019-03-25 03:45:00,30.0
2019-03-25 04:15:00,2019-03-25 04:40:00,30.0
2019-03-26 04:40:00,2019-03-26 05:25:00,50.0
2019-03-26 05:50:00,2019-03-26 06:55:00,70.0
2019-03-26 08:40:00,2019-03-26 09:10:00,35.0
2019-03-28 19:10:00,2019-03-28 19:45:00,40.0
2019-04-14 19:25:00,2019-04-16 04:40:00,2000.0
2019-04-29 11:40:00,2019-04-30 12:10:00,1475.0
2019-05-05 01:40:00,2019-05-08 18:10:00,5315.0
2019-05-08 18:30:00,2019-05-09 16:10:00,1305.0
2019-05-09 16:30:00,2019-05-14 03:15:00,6410.0
2019-05-14 05:20:00,2019-05-14 09:10:00,235.0
2019-06-02 14:00:00,2019-06-02 17:00:00,185.0
2019-06-03 03:25:00,2019-06-22 03:25:00,27365.0
2019-06-30 23:00:00,2019-07-01 03:05:00,250.0
2019-07-22 20:40:00,2019-07-23 12:45:00,970.0
2019-08-01 16:40:00,2019-08-14 11:40:00,18425.0
2019-08-17 09:20:00,2019-08-17 12:50:00,215.0
2019-08-24 06:00:00,2019-08-24 06:30:00,35.0
2019-09-14 08:10:00,2019-10-18 12:20:00,49215.0
2019-10-18 12:45:00,2019-10-19 15:05:00,1585.0
2019-10-19 15:25:00,2019-10-26 08:50:00,9690.0
2019-10-26 15:40:00,2019-10-27 06:00:00,865.0
2019-10-31 09:55:00,2019-10-31 15:50:00,360.0
2019-11-08 17:45:00,2019-11-08 20:05:00,145.0
2019-11-11 04:00:00,2019-11-11 04:30:00,35.0
2019-11-11 08:00:00,2019-11-11 08:25:00,30.0
2019-11-11 09:25:00,2019-11-11 10:10:00,50.0
2019-11-11 19:05:00,2019-11-11 19:50:00,50.0
2019-11-12 01:40:00,2019-11-12 02:45:00,70.0
2019-11-12 06:55:00,2019-11-12 07:20:00,30.0
2019-11-12 14:55:00,2019-11-12 15:30:00,40.0
2019-11-12 15:45:00,2019-11-12 16:15:00,35.0
2019-11-12 19:55:00,2019-11-12 20:40:00,50.0
2019-11-13 05:00:00,2019-11-13 05:40:00,45.0
2019-11-13 06:10:00,2019-11-13 06:35:00,30.0
2019-11-13 19:40:00,2019-11-13 20:05:00,30.0
2019-11-13 20:15:00,2019-11-13 21:10:00,60.0
2019-11-13 21:40:00,2019-11-13 22:20:00,45.0
2019-11-13 23:30:00,2019-11-14 00:05:00,40.0
2019-11-14 01:20:00,2019-11-14 02:35:00,80.0
2019-11-14 03:25:00,2019-11-14 03:50:00,30.0
2019-11-14 04:50:00,2019-11-14 05:20:00,35.0
2019-11-14 08:20:00,2019-11-14 08:50:00,35.0
2019-11-14 09:40:00,2019-11-14 11:10:00,95.0
2019-11-14 11:50:00,2019-11-14 12:30:00,45.0
2019-11-14 13:35:00,2019-11-14 14:35:00,65.0
2019-11-14 15:00:00,2019-11-14 15:50:00,55.0
2019-11-14 18:15:00,2019-11-14 19:30:00,80.0
2019-11-14 20:25:00,2019-11-14 21:00:00,40.0
2019-11-14 23:15:00,2019-11-15 00:25:00,75.0
2019-11-15 01:30:00,2019-11-15 01:55:00,30.0
2019-11-15 04:00:00,2019-11-15 04:55:00,60.0
2019-11-15 07:40:00,2019-11-15 08:20:00,45.0
2019-11-15 08:40:00,2019-11-15 09:15:00,40.0
2019-11-16 06:00:00,2019-11-16 09:05:00,190.0
2019-11-21 08:00:00,2019-11-21 08:30:00,35.0
2019-11-29 12:20:00,2019-12-24 22:50:00,36635.0
2019-12-25 04:25:00,2019-12-25 05:15:00,55.0
2019-12-26 01:40:00,2019-12-26 10:05:00,510.0
2019-12-31 00:20:00,2019-12-31 00:45:00,30.0
2020-01-29 05:30:00,2020-01-29 07:25:00,120.0
2020-02-22 06:05:00,2020-02-23 09:15:00,1635.0
2020-03-22 21:20:00,2020-05-02 00:30:00,57795.0
2020-05-02 11:35:00,2020-05-02 13:45:00,135.0
2020-05-17 11:35:00,2020-05-17 21:10:00,580.0
2020-07-26 07:15:00,2020-07-26 09:40:00,150.0
2020-07-26 11:20:00,2020-07-26 11:50:00,35.0
2020-07-30 10:55:00,2020-07-30 12:05:00,75.0
2020-08-04 17:50:00,2020-08-04 18:55:00,70.0
